Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,64,Tomato Tree B3 [L6.05] (V),28279,LOR,6,AuxA,5,,,16711808,#8000FF,DarkViolet
Channel,56,Tomato Tree B3 [L6.06] (W),28279,LOR,6,AuxA,6,,,16777215,#FFFFFF,White
Channel,65,Tomato Tree B4 {CL} [L6.07] (V),28279,LOR,6,AuxA,7,,,16711808,#8000FF,DarkViolet
Channel,57,Tomato Tree B4 {CL} [L6.08] (W),28279,LOR,6,AuxA,8,,,16777215,#FFFFFF,White
Channel,66,Tomato Tree B5 {CR} [L6.09] (V),28279,LOR,6,AuxA,9,,,16711808,#8000FF,DarkViolet
Channel,58,Tomato Tree B5 {CR} [L6.10] (W),28279,LOR,6,AuxA,10,,,16777215,#FFFFFF,White
Channel,67,Tomato Tree B6 [L6.11] (V),28279,LOR,6,AuxA,11,,,16711808,#8000FF,DarkViolet
Channel,59,Tomato Tree B6 [L6.12] (W),28279,LOR,6,AuxA,12,,,16777215,#FFFFFF,White
Channel,68,Tomato Tree B7 [L6.13] (V),28279,LOR,6,AuxA,13,,,16711808,#8000FF,DarkViolet
Channel,60,Tomato Tree B7 [L6.14] (W),28279,LOR,6,AuxA,14,,,16777215,#FFFFFF,White
Channel,69,Tomato Tree B8 {R} [L6.15] (V),28279,LOR,6,AuxA,15,,,16711808,#8000FF,DarkViolet
Channel,61,Tomato Tree B8 {R} [L6.16] (W),28279,LOR,6,AuxA,16,,,16777215,#FFFFFF,White
Channel,77,Tree Big 1 (Multi) [L2.09],28279,LOR,2,AuxA,9,,,8453888,#00FF80,SpringGreen
Channel,78,Tree Big 2 (Multi) [L2.10],28279,LOR,2,AuxA,10,,,16384,#004000,DarkGreen
Channel,74,Tree Small {L} [L2.11] (B),28279,LOR,2,AuxA,11,,,16711680,#0000FF,Blue
Channel,73,Tree Spiral 1 {L} [L3.01] (W),28279,LOR,3,AuxA,1,,,16777215,#FFFFFF,White
Channel,72,Tree Spiral 2 {F} [L3.02] (W),28279,LOR,3,AuxA,2,,,16777215,#FFFFFF,White
Channel,71,Tree Spiral 3 {R} [L3.03] (W),28279,LOR,3,AuxA,3,,,16777215,#FFFFFF,White
Channel,70,Tree Spiral 4 {B} [L3.04] (G),28279,LOR,3,AuxA,4,,,65280,#00FF00,Green
Channel,75,Tree Tinsel 1 {L} [L3.05] (R),28279,LOR,3,AuxA,5,,,255,#FF0000,Red
Channel,76,Tree Tinsel 2 {R} [L3.06] (R),28279,LOR,3,AuxA,6,,,255,#FF0000,Red
Channel,107,Twinklers 1 [U1.54  C.22],28279,DMX,,,,1,54,16777215,#FFFFFF,White
Channel,108,Twinklers 2 [U1.55  C.23],28279,DMX,,,,1,55,16777215,#FFFFFF,White
Channel,109,Twinklers 3 [U1.56  C.24],28279,DMX,,,,1,56,16777215,#FFFFFF,White
Channel,110,Twinklers 4 [U1.57  C.25],28279,DMX,,,,1,57,16777215,#FFFFFF,White
Channel,159,UFOs {C}{T} [L3.11] (RGB),28279,LOR,3,AuxA,11,,,4210816,#804040,SaddleBrown
Channel,104,UFOs {L} [L3.10] (RGB),28279,LOR,3,AuxA,10,,,65535,#FFFF00,Yellow
Channel,105,UFOs {R} [L1.10] (RGB),28279,LOR,1,Regular,10,,,12615744,#4080C0,SteelBlue
Channel,152,Wreath Berries [L1.09],28279,LOR,1,Regular,9,,,255,#FF0000,Red
Channel,117,Wreath Leaves [L1.08],28279,LOR,1,Regular,8,,,65280,#00FF00,Green
Channel,120,Yellow Snow (Yel) [L3.12],28279,LOR,3,AuxA,12,,,65535,#FFFF00,Yellow
Channel,155,Yule Log [L2.05],28279,LOR,2,AuxA,5,,,33023,#FF8000,DarkOrange
